1	1	3.595	11	3.595
2	2	5.750	10	5.750
3	3	7.675	11	7.675
4	4	8.22	2	8.22
5	5	5.332	10	5.332
6	6	7.224	2	7.224
7	7	5.500	11	5.500
8	8	5.366	3	5.366
9	9	5.86	1	5.86
10	10	5.404	11	5.404
11	11	6.622	11	6.622
12	12	8.80	1	8.80
13	13	7.83	3	7.83
14	14	10.08	2	10.08
15	15	5.972	3	5.972
16	16	7.12	5	7.12
17	17	5.994	3	5.994
18	18	8.09	5	8.09
19	19	5.37	8	5.37
20	20	8.07	5	8.07
21	21	6.76	6	6.76
22	22	6.396	11	6.396
23	23	4.070	10	4.070
24	24	5.147	3	5.147
25	25	4.164	3	4.164
26	26	8.19	5	8.19
27	27	5.503	11	5.503
28	28	8.03	3	8.03
29	29	5.615	3	5.615
30	30	4.240	2	4.240
31	31	5.677	11	5.677
32	32	7.80	3	7.80
33	33	6.63	7	6.63
34	34	7.78	3	7.78
35	35	6.52	4	6.52
36	36	5.21	8	5.21
37	37	4.008	2	4.008
38	38	4.200	10	4.200
39	39	5.61	6	5.61
40	40	8.357	2	8.357
41	41	5.462	3	5.462
42	42	5.766	3	5.766
43	43	7.685	10	7.685
44	44	6.65	7	6.65
45	45	4.998	3	4.998
46	46	5.401	3	5.401
47	47	7.65	5	7.65
48	48	5.56	7	5.56
49	49	5.951	10	5.951
50	50	8.041	2	8.041
51	51	5.79	8	5.79
52	52	6.914	2	6.914
53	53	8.220	10	8.220
54	54	8.47	7	8.47
55	55	6.180	11	6.180
56	56	5.170	10	5.170
57	57	5.21	6	5.21
58	58	5.893	3	5.893
59	59	8.24	2	8.24
60	60	7.92	3	7.92
61	61	7.386	10	7.386
62	62	5.317	3	5.317
63	63	9.05	3	9.05
64	64	6.04	5	6.04
65	65	6.506	3	6.506
66	66	4.462	10	4.462
67	67	8.511	2	8.511
68	68	5.989	3	5.989
69	69	6.199	11	6.199
70	70	7.58	1	7.58
71	71	7.09	3	7.09
72	72	7.01	5	7.01
73	73	7.102	10	7.102
74	74	4.368	3	4.368
75	75	7.87	5	7.87
76	76	6.43	6	6.43
77	77	3.844	10	3.844
78	78	6.26	8	6.26
79	79	6.234	3	6.234
80	80	8.626	2	8.626
81	81	6.304	3	6.304
82	82	5.47	8	5.47
83	83	7.50	6	7.50
84	84	6.172	3	6.172
85	85	7.972	2	7.972
86	86	7.191	10	7.191
87	87	9.056	2	9.056
88	88	5.432	11	5.432
89	89	7.541	2	7.541
90	90	6.99	3	6.99
91	91	4.34	3	4.34
92	92	7.96	1	7.96
93	93	6.27	7	6.27
94	94	6.69	5	6.69
95	95	10.282	2	10.282
96	96	7.955	2	7.955
97	97	5.567	11	5.567
98	98	6.664	11	6.664
99	99	7.152	10	7.152
100	100	5.576	3	5.576
101	101	5.36	1	5.36
102	102	7.44	2	7.44
103	103	4.230	3	4.230
104	104	6.027	11	6.027
105	105	3.384	11	3.384
106	106	5.36	7	5.36
107	107	8.52	3	8.52
108	108	6.67	4	6.67
109	109	5.154	11	5.154
110	110	7.755	2	7.755
111	111	6.35	7	6.35
112	112	5.350	3	5.350
113	113	7.48	6	7.48
114	114	5.62	4	5.62
115	115	7.330	11	7.330
116	116	9.95	3	9.95
117	117	9.30	7	9.30
118	118	6.32	1	6.32
119	119	4.821	10	4.821
120	120	8.11	2	8.11
121	121	4.06	1	4.06
122	122	5.200	2	5.200
123	123	9.426	2	9.426
124	124	4.667	11	4.667
125	125	7.47	5	7.47
126	126	5.208	10	5.208
127	127	7.000	2	7.000
128	128	7.09	8	7.09
129	129	7.01	7	7.01
130	130	9.74	7	9.74
131	131	5.200	3	5.200
132	132	8.47	2	8.47
133	133	5.561	11	5.561
134	134	7.260	11	7.260
135	135	8.50	2	8.50
136	136	6.71	4	6.71
137	137	5.00	1	5.00
138	138	5.000	3	5.000
139	139	6.041	10	6.041
140	140	5.900	3	5.900
141	141	6.588	2	6.588
142	142	5.990	3	5.990
143	143	6.26	1	6.26
144	144	5.398	3	5.398
145	145	7.850	2	7.850
146	146	6.24	6	6.24
147	147	6.537	3	6.537
148	148	7.34	1	7.34
149	149	6.57	4	6.57
150	150	5.831	11	5.831
151	151	6.656	2	6.656
152	152	7.186	10	7.186
153	153	6.54	4	6.54
154	154	6.100	3	6.100
155	155	6.310	3	6.310
156	156	7.47	2	7.47
157	157	7.60	1	7.60
158	158	4.570	3	4.570
159	159	3.405	3	3.405
160	160	4.852	10	4.852
161	161	6.971	11	6.971
162	162	6.966	2	6.966
163	163	5.399	3	5.399
164	164	3.474	3	3.474
165	165	7.09	5	7.09
166	166	9.950	2	9.950
167	167	7.10	5	7.10
168	168	7.050	11	7.050
169	169	6.14	7	6.14
170	170	6.550	10	6.550
171	171	7.515	11	7.515
172	172	6.355	10	6.355
173	173	7.714	2	7.714
174	174	6.445	10	6.445
175	175	7.46	5	7.46
176	176	7.931	10	7.931
177	177	7.282	10	7.282
178	178	4.035	3	4.035
179	179	8.82	3	8.82
180	180	7.300	11	7.300
181	181	8.88	5	8.88
182	182	6.76	1	6.76
183	183	6.476	10	6.476
184	184	7.816	10	7.816
185	185	5.92	1	5.92
186	186	4.388	3	4.388
187	187	4.063	3	4.063
188	188	7.250	2	7.250
189	189	5.446	3	5.446
190	190	8.31	2	8.31
191	191	4.78	1	4.78
192	192	6.50	2	6.50
193	193	8.572	2	8.572
194	194	8.28	5	8.28
195	195	5.243	3	5.243
196	196	7.33	3	7.33
197	197	8.177	10	8.177
198	198	7.80	3	7.80
199	199	6.32	4	6.32
200	200	6.10	1	6.10
201	201	7.01	7	7.01
202	202	7.19	6	7.19
203	203	6.52	2	6.52
204	204	5.441	3	5.441
205	205	8.23	5	8.23
206	206	7.207	10	7.207
207	207	7.988	10	7.988
208	208	5.842	11	5.842
209	209	5.07	2	5.07
210	210	6.060	3	6.060
211	211	7.379	2	7.379
212	212	4.191	3	4.191
213	213	7.38	2	7.38
214	214	7.121	2	7.121
215	215	4.434	3	4.434
216	216	7.89	7	7.89
217	217	7.42	2	7.42
218	218	7.66	4	7.66
219	219	5.76	1	5.76
220	220	6.23	6	6.23
221	221	6.02	4	6.02
222	222	6.663	11	6.663
223	223	6.63	4	6.63
224	224	8.084	2	8.084
225	225	6.74	8	6.74
226	226	8.03	2	8.03
227	227	9.10	2	9.10
228	228	7.32	5	7.32
229	229	8.494	11	8.494
230	230	5.66	8	5.66
231	231	5.066	11	5.066
232	232	5.117	3	5.117
233	233	8.25	3	8.25
234	234	5.073	11	5.073
235	235	7.04	1	7.04
236	236	6.849	11	6.849
237	237	5.345	11	5.345
238	238	6.56	1	6.56
239	239	5.184	10	5.184
240	240	5.979	10	5.979
241	241	6.64	3	6.64
242	242	6.729	10	6.729
243	243	7.76	1	7.76
244	244	2.881	3	2.881
245	245	8.26	5	8.26
246	246	8.57	5	8.57
247	247	2.777	11	2.777
248	248	5.285	11	5.285
249	249	7.757	10	7.757
250	250	5.91	8	5.91
251	251	5.860	11	5.860
252	252	5.080	11	5.080
253	253	4.993	3	4.993
254	254	5.973	3	5.973
255	255	6.545	2	6.545
256	256	4.872	3	4.872
257	257	9.95	2	9.95
258	258	7.60	3	7.60
259	259	7.73	5	7.73
260	260	7.58	5	7.58
261	261	5.54	5	5.54
262	262	5.069	10	5.069
263	263	5.99	2	5.99
264	264	6.78	1	6.78
265	265	3.82	2	3.82
266	266	7.34	1	7.34
267	267	5.05	3	5.05
268	268	8.08	2	8.08
269	269	8.38	2	8.38
270	270	7.41	6	7.41
271	271	5.358	10	5.358
272	272	6.443	11	6.443
273	273	6.475	2	6.475
274	274	7.296	11	7.296
275	275	7.414	11	7.414
276	276	4.386	11	4.386
277	277	3.12	3	3.12
278	278	6.21	6	6.21
279	279	7.379	2	7.379
280	280	5.786	11	5.786
281	281	6.38	1	6.38
282	282	6.818	11	6.818
283	283	8.32	3	8.32
284	284	6.859	10	6.859
285	285	6.40	4	6.40
286	286	5.784	11	5.784
287	287	7.78	1	7.78
288	288	6.76	4	6.76
289	289	5.97	8	5.97
290	290	5.821	3	5.821
291	291	6.607	10	6.607
292	292	5.645	3	5.645
293	293	5.667	3	5.667
294	294	5.781	3	5.781
295	295	6.32	2	6.32
296	296	3.96	4	3.96
297	297	4.245	11	4.245
298	298	6.537	11	6.537
299	299	6.30	1	6.30
300	300	6.24	2	6.24
301	301	7.336	2	7.336
302	302	6.058	10	6.058
303	303	7.68	1	7.68
304	304	5.581	3	5.581
305	305	7.116	11	7.116
306	306	8.57	3	8.57
307	307	8.06	1	8.06
308	308	4.645	3	4.645
309	309	8.72	3	8.72
310	310	8.514	2	8.514
311	311	7.18	4	7.18
312	312	5.559	10	5.559
313	313	8.003	11	8.003
314	314	6.942	11	6.942
315	315	8.884	2	8.884
316	316	7.68	5	7.68
317	317	4.80	3	4.80
318	318	8.00	7	8.00
319	319	6.43	6	6.43
320	320	5.051	3	5.051
